Acceleration,Braking,gears ,Engine Temperature,Battery,RPM,Fuel Burnt,Distance
5,5,4,57,84,1373,10,132
5,6,1,58,83,1419,10,132
5,4,1,58,83,1441,10,132
5,12,2,59,83,1447,10,132
5,6,1,59,83,1457,11,145.2
5,4,4,60,83,1475,11,145.2
6,6,1,60,82,1486,11,145.2
6,5,1,60,82,1497,11,145.2
6,10,3,60,81,1507,11,145.2
6,10,5,60,81,1511,11,145.2
6,4,5,60,81,1546,11,145.2
6,6,5,60,81,1552,12,158.4
6,13,4,60,81,1560,12,158.4
6,4,1,60,80,1567,12,158.4
6,9,5,60,80,1598,12,158.4
6,7,1,60,80,1606,12,158.4
6,6,5,60,80,1610,13,171.6
6,5,1,60,80,1614,13,171.6
6,6,2,60,80,1665,13,171.6
6,3,4,60,79,1666,13,171.6
7,13,2,60,79,1684,13,171.6
7,2,1,60,78,1733,13,171.6
7,13,3,60,78,1761,13,171.6
7,11,2,59,78,1770,14,184.8
7,8,4,59,77,1774,14,184.8
7,4,3,59,76,1775,14,184.8
7,4,4,59,76,1799,14,184.8
7,14,1,59,75,1832,14,184.8
7,13,5,59,75,1848,14,184.8
7,10,3,59,74,1850,15,198
7,6,1,59,74,1876,15,198
7,9,1,59,74,1908,15,198
7,6,1,59,74,1913,15,198
8,11,1,59,74,1921,16,211.2
8,14,1,59,73,1958,16,211.2
8,8,1,59,73,1959,16,211.2
8,7,1,59,72,1960,16,211.2
8,4,4,59,72,1967,16,211.2
8,10,3,59,72,1996,17,224.4
8,11,3,59,72,2008,17,224.4
8,13,5,59,71,2063,17,224.4
9,5,4,59,71,2077,17,224.4
9,9,2,59,71,2097,17,224.4
9,3,4,59,70,2129,17,224.4
9,12,4,58,70,2193,17,224.4
9,2,5,58,70,2201,17,224.4
9,8,5,58,70,2203,17,224.4
9,4,3,58,70,2214,17,224.4
9,5,5,58,70,2270,18,237.6
9,7,4,58,70,2270,18,237.6
9,4,5,58,69,2271,18,237.6
9,3,5,58,69,2276,18,237.6
9,12,1,58,69,2333,18,237.6
9,13,5,58,69,2334,18,237.6
9,11,4,58,69,2341,18,237.6
9,4,4,58,69,2348,18,237.6
9,14,3,58,69,2352,18,237.6
9,6,1,58,68,2398,18,237.6
9,12,5,58,68,2399,19,250.8
9,10,1,58,68,2402,19,250.8
9,12,2,58,67,2402,19,250.8
9,12,2,58,67,2406,19,250.8
9,3,3,58,67,2410,19,250.8
9,5,3,58,67,2417,19,250.8
10,11,4,58,67,2443,19,250.8
10,9,3,58,67,2475,19,250.8
10,6,5,58,66,2478,19,250.8
10,9,1,58,66,2484,19,250.8
10,9,3,58,66,2506,19,250.8
10,5,2,58,66,2522,20,264
10,7,4,58,66,2545,20,264
10,8,1,58,66,2627,20,264
10,11,5,57,65,2628,20,264
10,6,4,57,65,2637,20,264
11,12,1,57,65,2638,21,277.2
11,11,5,57,65,2651,21,277.2
11,14,2,57,64,2666,21,277.2
11,3,5,57,64,2677,21,277.2
11,11,2,57,64,2689,21,277.2
11,10,4,57,64,2693,21,277.2
11,6,5,57,64,2698,21,277.2
11,8,3,57,64,2700,21,277.2
11,10,3,57,63,2712,21,277.2
11,12,5,57,63,2715,21,277.2
12,3,3,57,63,2727,21,277.2
12,2,5,57,63,2734,21,277.2
12,12,1,57,62,2766,22,290.4
12,3,3,57,62,2769,22,290.4
12,13,3,57,62,2776,22,290.4
12,8,5,56,62,2778,22,290.4
12,13,1,56,62,2789,22,290.4
12,4,5,56,62,2791,22,290.4
12,5,5,56,61,2812,22,290.4
12,5,1,56,61,2832,22,290.4
12,7,1,56,61,2855,22,290.4
12,10,5,56,61,2858,23,303.6
12,10,5,56,61,2868,23,303.6
13,2,4,56,60,2875,23,303.6
13,2,2,56,60,2904,23,303.6
13,14,5,56,60,2914,23,303.6
13,10,5,56,60,2922,23,303.6
13,3,5,56,59,2929,23,303.6
13,11,3,56,59,2937,23,303.6
13,10,3,56,59,2969,23,303.6
13,4,2,55,58,3007,24,316.8
13,13,4,55,58,3009,24,316.8
13,10,5,55,57,3019,24,316.8
13,3,2,55,57,3037,24,316.8
13,7,4,55,57,3055,24,316.8
13,6,2,55,57,3062,24,316.8
13,3,2,55,57,3063,24,316.8
13,14,3,55,56,3074,24,316.8
13,13,4,55,56,3075,24,316.8
13,6,5,55,56,3086,24,316.8
13,7,4,55,56,3090,24,316.8
14,14,5,55,56,3113,24,316.8
14,3,5,55,55,3149,25,330
14,14,3,55,54,3152,25,330
14,6,1,55,54,3155,25,330
14,10,4,55,54,3159,25,330
14,4,3,55,54,3169,25,330
14,6,4,55,53,3180,25,330
14,11,4,55,53,3185,25,330
14,2,5,55,53,3218,25,330
14,11,5,55,52,3233,25,330
15,5,4,55,52,3252,25,330
15,13,3,55,52,3263,25,330
15,4,3,55,52,3282,26,343.2
15,7,5,55,52,3284,26,343.2
15,14,5,54,52,3341,26,343.2
15,9,5,54,51,3348,26,343.2
15,11,2,54,50,3373,26,343.2
15,14,3,54,50,3378,26,343.2
15,5,5,54,50,3438,26,343.2
15,7,3,54,50,3450,27,356.4
16,7,3,54,50,3459,27,356.4
16,7,3,54,49,3462,27,356.4
16,10,3,54,48,3492,27,356.4
16,10,3,54,48,3554,27,356.4
16,6,3,54,48,3598,27,356.4
16,7,1,54,48,3601,27,356.4
16,6,5,54,47,3604,27,356.4
16,7,5,54,47,3606,28,369.6
16,3,1,54,47,3620,28,369.6
16,4,3,54,47,3654,28,369.6
17,5,1,54,47,3666,28,369.6
17,4,2,54,46,3672,28,369.6
17,5,4,54,46,3677,28,369.6
17,12,4,54,46,3684,29,382.8
17,3,2,54,46,3684,29,382.8
17,10,2,53,45,3696,29,382.8
17,4,4,53,45,3710,29,382.8
17,2,4,53,45,3724,29,382.8
17,3,5,53,45,3730,29,382.8
18,11,3,53,45,3737,29,382.8
18,6,3,53,44,3739,29,382.8
18,5,1,53,43,3739,30,396
18,2,4,53,43,3746,30,396
18,4,3,53,43,3754,30,396
18,2,4,53,42,3758,30,396
18,2,5,53,42,3777,30,396
18,2,2,53,42,3789,30,396
18,5,1,53,41,3829,30,396
19,3,2,53,41,3833,30,396
19,12,4,53,41,3835,30,396
19,7,3,53,40,3850,31,409.2
19,9,4,53,40,3854,31,409.2
19,3,3,53,40,3857,31,409.2
19,6,4,53,39,3863,31,409.2
19,6,3,53,39,3876,31,409.2
19,2,5,53,39,3880,31,409.2
19,11,1,52,38,3889,31,409.2
19,6,2,52,37,3889,32,422.4
20,13,1,52,37,3894,32,422.4
20,7,3,52,37,3897,32,422.4
20,9,3,52,36,3902,32,422.4
20,10,3,52,35,3937,32,422.4
20,3,4,52,35,3941,32,422.4
20,8,3,52,35,3941,32,422.4
20,13,3,52,35,3959,32,422.4
20,10,5,52,34,3961,32,422.4
20,3,4,52,34,3970,32,422.4
20,14,3,52,34,3980,32,422.4
20,11,3,52,34,3992,33,435.6
20,7,3,52,34,4003,33,435.6
21,9,3,52,33,4032,33,435.6
21,11,5,52,33,4065,33,435.6
21,5,2,52,33,4118,33,435.6
21,2,2,52,32,4155,34,448.8
21,9,2,51,32,4193,34,448.8
21,10,5,51,32,4198,34,448.8
21,12,2,51,32,4207,34,448.8
21,2,2,51,31,4220,34,448.8
21,11,5,51,31,4247,34,448.8
21,6,5,51,31,4251,34,448.8
21,11,1,51,31,4297,34,448.8
22,2,4,51,31,4310,34,448.8
22,12,4,51,30,4330,35,462
22,2,5,51,30,4345,35,462
22,2,1,51,30,4350,35,462
22,11,2,51,29,4353,35,462
22,2,2,51,29,4356,35,462
22,14,4,51,29,4363,35,462
22,13,2,51,29,4366,35,462
22,13,5,51,29,4375,35,462
22,8,5,51,28,4380,36,475.2
22,14,4,40,28,4385,36,475.2
22,8,4,40,28,4387,36,475.2
22,13,1,40,28,4389,37,488.4
22,5,3,40,28,4401,37,488.4
22,10,3,40,28,4401,37,488.4
23,5,5,41,27,4431,37,488.4
23,9,2,41,27,4483,37,488.4
23,4,4,41,27,4499,37,488.4
23,8,3,41,27,4537,37,488.4
23,10,3,41,26,4586,37,488.4
23,9,3,41,25,4591,37,488.4
23,5,2,42,25,4596,37,488.4
23,9,5,42,25,4611,38,501.6
23,9,2,42,24,4624,38,501.6
23,14,2,42,24,4647,38,501.6
23,14,5,42,24,4652,38,501.6
23,11,2,42,24,4670,38,501.6
23,4,2,42,23,4713,38,501.6
23,7,2,42,23,4718,39,514.8
23,8,5,43,23,4729,39,514.8
23,5,5,43,23,4740,39,514.8
23,4,2,44,22,4752,39,514.8
23,12,4,45,22,4755,39,514.8
23,9,1,46,22,4782,39,514.8
24,2,5,46,22,4799,39,514.8
24,5,5,46,22,4827,40,528
24,11,2,46,22,4829,40,528
24,5,1,46,22,4831,40,528
24,2,2,46,22,4834,40,528
24,3,5,48,21,4864,40,528
24,12,4,48,21,4874,40,528
24,10,4,48,20,4878,40,528
24,6,3,48,20,4888,41,541.2
24,7,1,49,19,4901,41,541.2
24,8,2,49,19,4923,41,541.2
24,14,4,49,19,4924,41,541.2
25,8,5,49,18,4930,41,541.2
25,13,2,49,18,4945,41,541.2
25,7,3,49,18,4989,41,541.2
25,14,5,60,18,5009,42,554.4
25,10,2,60,18,5084,42,554.4
25,11,2,60,18,5099,42,554.4
25,5,1,60,18,5123,42,554.4
25,6,3,60,18,5134,42,554.4
25,9,2,60,17,5135,42,554.4
25,9,1,60,17,5160,43,567.6
25,6,3,60,17,5214,43,567.6
25,13,4,61,17,5247,43,567.6
25,8,3,61,16,5253,43,567.6
25,7,5,61,16,5284,43,567.6
25,2,5,61,15,5294,44,580.8
25,2,3,61,15,5302,44,580.8
26,3,5,61,14,5305,44,580.8
26,7,2,61,14,5336,44,580.8
26,12,1,61,14,5346,44,580.8
26,11,4,62,14,5352,44,580.8
26,4,3,62,14,5355,44,580.8
26,12,1,62,13,5384,44,580.8
26,5,3,62,13,5385,44,580.8
26,10,2,62,13,5396,44,580.8
26,6,3,62,12,5415,45,594
26,12,4,62,12,5422,45,594
26,13,1,62,11,5437,45,594
26,2,1,62,10,5450,45,594
26,6,1,63,9,5451,45,594
27,5,3,63,9,5460,45,594
27,4,4,63,9,5464,45,594
27,8,2,63,9,5478,45,594
27,7,4,63,8,5538,46,607.2
27,10,1,63,8,5578,46,607.2
27,3,5,63,8,5585,46,607.2
27,5,3,64,8,5590,46,607.2
27,4,1,64,8,5609,47,620.4
27,6,2,64,7,5620,47,620.4
27,12,2,64,7,5645,47,620.4
27,8,4,64,7,5646,47,620.4
27,2,4,64,6,5657,47,620.4
27,10,4,64,6,5661,47,620.4
28,11,2,65,6,5690,47,620.4
28,10,2,65,5,5692,47,620.4
28,13,4,65,5,5696,47,620.4
28,9,5,66,5,5706,48,633.6
28,3,1,67,4,5739,48,633.6
28,12,1,67,4,5757,48,633.6
28,7,4,67,4,5778,48,633.6
28,4,3,68,4,5815,48,633.6
29,6,5,68,3,5830,48,633.6
29,11,5,68,3,5845,48,633.6
29,5,1,68,2,5851,48,633.6
29,4,4,68,2,5864,48,633.6
29,4,1,68,2,5885,48,633.6
29,13,3,68,2,5934,49,646.8
29,3,3,68,2,5937,49,646.8
29,11,1,68,2,5949,49,646.8
29,14,3,68,2,5959,49,646.8
29,8,1,69,2,5960,49,646.8
29,12,5,69,2,5961,49,646.8
29,7,5,69,2,5974,49,646.8
29,15,4,69,2,5995,49,646.8
29,7,5,69,2,5995,49,646.8
